path,category,reason,kind,bytes
paper_runs/evaluation,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,284607511
paper_runs/invalidated,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,57224350
paper_runs/logs,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,20447
paper_runs/manifests,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,500965
paper_runs/multimap_v3_2_1,superseded_protocol_output,旧协议生成失败或中间产物,directory,563346
paper_runs/multimap_v3_2_11,superseded_protocol_output,旧协议生成失败或中间产物,directory,64426
paper_runs/multimap_v3_2_12,superseded_protocol_output,旧协议生成失败或中间产物,directory,793364
paper_runs/multimap_v3_2_13,superseded_protocol_output,旧协议生成失败或中间产物,directory,1436735
paper_runs/multimap_v3_2_2,superseded_protocol_output,旧协议生成失败或中间产物,directory,22954
paper_runs/multimap_v3_2_3,superseded_protocol_output,旧协议生成失败或中间产物,directory,175428
paper_runs/multimap_v3_2_5,superseded_protocol_output,旧协议生成失败或中间产物,directory,556
paper_runs/multimap_v3_2_6,superseded_protocol_output,旧协议生成失败或中间产物,directory,27672
paper_runs/multimap_v3_2_7,superseded_protocol_output,旧协议生成失败或中间产物,directory,3883
paper_runs/multimap_v3_2_9,superseded_protocol_output,旧协议生成失败或中间产物,directory,64718
paper_runs/publication,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,79733193
paper_runs/training,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,1511391747
paper_runs/validation,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,1137104
tests/test_paper_publication_analysis.py,orphan_test,仅测试已删除的旧模块,file,6627
tests/test_run_algorithms_3d.py,orphan_test,仅测试已删除的旧模块,file,15940
tests/test_v3_2_2_coordinate_boundary.py,orphan_test,仅测试已删除的旧模块,file,1641
tests/test_v3_2_4_certificate_search.py,orphan_test,仅测试已删除的旧模块,file,1280
paper_runs/multimap_v3_1/diagnostics,training_transient,训练试跑、监控或诊断产物,directory,184600
paper_runs/multimap_v3_1/logs,training_transient,训练试跑、监控或诊断产物,directory,121318
paper_runs/multimap_v3_1/monitoring,training_transient,训练试跑、监控或诊断产物,directory,11471
paper_runs/multimap_v3_1/parallel_smoke,training_transient,训练试跑、监控或诊断产物,directory,5186
paper_runs/multimap_v3_1/pilot,training_transient,训练试跑、监控或诊断产物,directory,265274621
paper_runs/multimap_v3_1/smoke,training_transient,训练试跑、监控或诊断产物,directory,145734
paper_runs/multimap_v3_1/supervisor,training_transient,训练试跑、监控或诊断产物,directory,2065
paper_runs/multimap_v3_2/environment_freeze.pre_formal_assessment_path_fix.json,training_transient,传统PPO试跑、失败运行或已取代冻结文件,file,1729
paper_runs/multimap_v3_2/environment_freeze.pre_formal_callback_schema_fix.json,training_transient,传统PPO试跑、失败运行或已取代冻结文件,file,1729
paper_runs/multimap_v3_2/environment_freeze.superseded_callback_fix.json,training_transient,传统PPO试跑、失败运行或已取代冻结文件,file,1729
paper_runs/multimap_v3_2/environment_freeze.superseded_pre_evaluator.json,training_transient,传统PPO试跑、失败运行或已取代冻结文件,file,1627
paper_runs/multimap_v3_2/formal_evaluation,training_transient,传统PPO试跑、失败运行或已取代冻结文件,directory,52047
paper_runs/multimap_v3_2/pilot,training_transient,传统PPO试跑、失败运行或已取代冻结文件,directory,127893449
paper_runs/multimap_v3_2_14/diagnostics,evaluation_transient,正式评价前的失败或探测产物,directory,225141
paper_runs/multimap_v3_2_14/smoke,evaluation_transient,正式评价前的失败或探测产物,directory,478425
paper_runs/multimap_v3_2_4/formal_evaluation,superseded_protocol_output,v3.2.4非正式道路资产,directory,63711
paper_runs/multimap_v3_2_4/logs,superseded_protocol_output,v3.2.4非正式道路资产,directory,21617
paper_runs/multimap_v3_1/formal_training/formal_ppo_mlp_seed42_3000ep,excluded_model,ppo_mlp已被traditional_ppo替代并排除出论文,directory,40284420
paper_runs/multimap_v3_1/formal_training/formal_ppo_mlp_seed43_3000ep,excluded_model,ppo_mlp已被traditional_ppo替代并排除出论文,directory,39985761
paper_runs/multimap_v3_1/formal_training/formal_ppo_mlp_seed44_3000ep,excluded_model,ppo_mlp已被traditional_ppo替代并排除出论文,directory,40212824
paper_runs/multimap_v3_1/formal_training/formal_ppo_mlp_seed45_3000ep,excluded_model,ppo_mlp已被traditional_ppo替代并排除出论文,directory,40303178
paper_runs/multimap_v3_1/formal_training/formal_ppo_mlp_seed46_3000ep,excluded_model,ppo_mlp已被traditional_ppo替代并排除出论文,directory,40195867
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed42_3000ep_failed_callback_schema,training_transient,传统PPO试跑、失败运行或已取代冻结文件,directory,38092742
paper_runs/multimap_v3_2_14/figures/formal_v1,superseded_figure,已由唯一正式paper_final图包替代,directory,103634591
paper_runs/multimap_v3_2_14/figures/publication_final,superseded_figure,已由唯一正式paper_final图包替代,directory,76759786
paper_runs/multimap_v3_2_14/figures/publication_split_final,superseded_figure,已由唯一正式paper_final图包替代,directory,59541080
paper_runs/multimap_v3_2_14/figures/publication_split_probe,superseded_figure,已由唯一正式paper_final图包替代,directory,21393272
paper_runs/multimap_v3_2_14/figures/publication_split_probe2,superseded_figure,已由唯一正式paper_final图包替代,directory,20918020
paper_runs/multimap_v3_2_14/figures/publication_split_probe3,superseded_figure,已由唯一正式paper_final图包替代,directory,3200577
paper_runs/multimap_v3_2_14/figures/structure_preview,superseded_figure,已由唯一正式paper_final图包替代,directory,14960098
paper_runs/multimap_v3_2_14/figures/v1_3d_top_journal_revision,superseded_figure,已由唯一正式paper_final图包替代,directory,68763017
paper_runs/multimap_v3_2_14/figures/v1_direct_debug,superseded_figure,已由唯一正式paper_final图包替代,directory,2735017
paper_runs/multimap_v3_2_14/figures/v1_save_probe,superseded_figure,已由唯一正式paper_final图包替代,directory,50833621
paper_runs/multimap_v3_2_14/figures/v1_topographic_final,superseded_figure,已由唯一正式paper_final图包替代,directory,38140820
paper_runs/multimap_v3_2_14/figures/v1_topographic_final_debug,superseded_figure,已由唯一正式paper_final图包替代,directory,2637350
paper_runs/multimap_v3_2_14/figures/v1_topographic_revision_final,superseded_figure,已由唯一正式paper_final图包替代,directory,38141105
paper_runs/multimap_v3_2_14/formal_evaluation/robustness_v1_failed_localization_archive,evaluation_transient,正式评价前的失败或探测产物,directory,471594
paper_runs/multimap_v3_2_14/formal_evaluation/robustness_v2_failed_dem_start_archive,evaluation_transient,正式评价前的失败或探测产物,directory,922213
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed42_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12803454
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed42_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed43_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12732286
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed43_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed44_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12785598
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed44_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed45_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12803454
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed45_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed46_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12696574
paper_runs/multimap_v3_1/formal_training/formal_a2c_pointer_seed46_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12642878
paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12803390
paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12785534
paper_runs/multimap_v3_1/formal_training/formal_full_seed44_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_full_seed45_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12578430
paper_runs/multimap_v3_1/formal_training/formal_full_seed45_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_full_seed46_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_full_seed46_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed42_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12785598
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed42_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed43_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12692734
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed43_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed44_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12785598
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed44_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed45_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12785662
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed45_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed46_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12589246
paper_runs/multimap_v3_1/formal_training/formal_no_domain_randomization_seed46_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed42_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12749886
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed42_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12809982
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed43_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12696574
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed43_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed44_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12767742
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed44_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed45_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12749950
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed45_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed46_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12696574
paper_runs/multimap_v3_1/formal_training/formal_no_priority_bias_seed46_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed42_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12767742
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed42_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed43_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12732286
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed43_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed44_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12696574
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed44_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed45_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12515198
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed45_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed46_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12660798
paper_runs/multimap_v3_1/formal_training/formal_no_resource_shaping_seed46_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed42_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12550334
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed42_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12803902
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed43_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12472830
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed43_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12803902
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed44_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12589246
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed44_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807038
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed45_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12624958
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed45_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12807102
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed46_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12458430
paper_runs/multimap_v3_1/formal_training/formal_no_return_reserve_seed46_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12803902
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed42_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12965902
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed42_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,13083086
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed43_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,13083086
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed43_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,13083086
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed44_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12840590
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed44_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,13083086
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed45_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,12901262
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed45_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,13083150
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed46_3000ep/best_candidate.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,13041422
paper_runs/multimap_v3_2/formal_training/formal_traditional_ppo_seed46_3000ep/latest.pt,resume_checkpoint,论文只使用best_safe.pt，不再恢复训练,file,13083086
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_learning_serial_probe_archive_20260730,evaluation_transient,正式评价前的失败或探测产物,directory,3096632
PAPER_TRAINING_GUIDE_CN.md,legacy_code,第一轮训练指南或编排脚本,file,16674
run_paper_training.ps1,legacy_code,第一轮训练指南或编排脚本,file,13064
paper_runs/multimap_v3_1/audits/formal_full_seed42_3000ep_runtime_io_failure_v3_1_16,training_transient,失败训练归档，仅保留其小型JSON审计摘要,directory,37729546
paper_runs/multimap_v3_1/audits/pilot_full_seed42_600ep_preepisode_failure_v3_1_15,training_transient,失败训练归档，仅保留其小型JSON审计摘要,directory,3979
